OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),53.62,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),53.62,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),53.62,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),53.62,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),53.62,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),63.68,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),63.68,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
